n_features,r2_full,adj_r2_full,r2_out_of_sample
1,0.7251566970626218,0.7248813029715022,0.7276470719555406
2,0.9626288593199523,0.9625538921370436,0.9642703625806865
5,0.994723323847801,0.9946967812112205,0.9949868672122494
10,0.9948422851982328,0.9947901343913393,0.9950093229617902
20,0.9948700376808239,0.9947652376334455,0.9950098195041764
50,0.9948900582631875,0.9946208305636716,0.9950027192471363
100,0.9949007718275557,0.9943335606849033,0.9950134100538816
200,0.9949120416158818,0.9936384600428859,0.9949929580369501
500,0.9948644202200367,0.9897185486970275,0.9950677755843764
1000,0.9949526510747474,NaN,0.9947732701952587
