"n_features","r2_full","adj_r2_full","r2_out_of_sample"
1,0.723086471674063,0.852514026426841,0.723438162134058
2,0.965546163313715,0.981631271976177,0.967893368726185
5,0.99461605277422,0.997120946416695,0.994885336146022
10,0.994763487209962,0.997185644155569,0.99499460483941
20,0.994857271132143,0.997219194935473,0.995120527927625
50,0.994879763657118,0.997211514838705,0.995129039390831
100,0.994938255423255,0.997229281291625,0.994266116656551
200,0.994961568429548,0.997227876528596,0.993433849106229
500,0.99496687913283,0.997213484315763,-0.15878197961814
1000,0.994981925380501,0.997207288636752,-359932.136899468
